Date,Open,High,Low,Close,Adj Close,Volume,,,
12/1/2020,4.43,4.43,4.09,4.15,4.15,12130100,-0.17,,
12/2/2020,4.08,4.34,3.95,4.32,4.32,11847600,0.69,,
12/3/2020,4.01,4.22,3.5,3.63,3.63,66080900,0.12,,
12/4/2020,3.75,3.76,3.3,3.51,3.51,33157300,-0.05,,
12/7/2020,3.45,3.74,3.33,3.56,3.56,20503900,-0.42,,
12/8/2020,3.61,4.02,3.61,3.98,3.98,29530600,0.12,,
12/9/2020,4.22,4.33,3.75,3.86,3.86,20991200,-0.23,,
12/10/2020,3.79,4.1,3.77,4.09,4.09,19872800,0.17,,
12/11/2020,4.04,4.25,3.87,3.92,3.92,22310400,0.73,,
12/14/2020,4.01,4.01,3,3.19,3.19,67159000,0.33,,
12/15/2020,3.24,3.24,2.76,2.86,2.86,54432100,0.08,,
12/16/2020,2.87,2.89,2.72,2.78,2.78,25423200,-0.07,,
12/17/2020,2.8,2.95,2.74,2.85,2.85,23799300,0.05,,
12/18/2020,2.85,2.85,2.76,2.8,2.8,21941700,0.12,,
12/21/2020,2.61,2.74,2.58,2.68,2.68,22699800,0.09,,
12/22/2020,2.73,2.75,2.52,2.59,2.59,21638400,0.03,,
12/23/2020,2.58,2.65,2.54,2.56,2.56,15724800,0.05,,
12/24/2020,2.59,2.6,2.48,2.51,2.51,11094200,0.12,,
12/28/2020,2.63,2.63,2.36,2.39,2.39,23942700,0.1,,
12/29/2020,2.44,2.46,2.28,2.29,2.29,21086100,0.13,,
12/30/2020,2.3,2.3,2.13,2.16,2.16,40278400,0.04,,
12/31/2020,2.17,2.22,2.08,2.12,2.12,28234300,0.11,,
1/4/2021,2.2,2.2,2,2.01,2.01,29873800,0.03,,
1/5/2021,1.99,2.03,1.91,1.98,1.98,28148300,-0.03,,
1/6/2021,2.03,2.23,1.97,2.01,2.01,67363300,-0.04,,
1/7/2021,2.08,2.11,2.02,2.05,2.05,26150500,-0.09,,
1/8/2021,2.09,2.21,2.07,2.14,2.14,39553300,-0.06,,
1/11/2021,2.16,2.27,2.15,2.2,2.2,41695800,-0.09,,
1/12/2021,2.24,2.39,2.24,2.29,2.29,41549200,0.11,,
1/13/2021,2.33,2.38,2.13,2.18,2.18,45847700,0,,
1/14/2021,2.22,2.32,2.13,2.18,2.18,49638800,-0.15,,
1/15/2021,2.2,2.55,2.18,2.33,2.33,162356400,-0.73,,
1/19/2021,2.8,3.2,2.57,3.06,3.06,256276000,0.09,,
1/20/2021,3.29,3.34,2.75,2.97,2.97,181862200,-0.01,,
1/21/2021,3,3.06,2.85,2.98,2.98,64823800,-0.53,,
1/22/2021,2.91,3.74,2.81,3.51,3.51,268273400,-0.91,,
1/25/2021,4.71,4.88,3.85,4.42,4.42,443238100,-0.54,,
1/26/2021,5.09,5.19,4.37,4.96,4.96,456850200,-14.94,,
1/27/2021,20.34,20.360001,11.01,19.9,19.9,1222342500,11.27,,
1/28/2021,11.98,16.5,6.51,8.63,8.63,591223900,-4.63,,
1/29/2021,14.31,16,11.6,13.26,13.26,602193300,-0.04,,
2/1/2021,17,17.25,12.91,13.3,13.3,434608000,5.48,,
2/2/2021,9.48,10.1,6,7.82,7.82,462775900,-1.15,,
2/3/2021,8.85,9.77,7.89,8.97,8.97,221405100,1.88,,
2/4/2021,8.7,8.74,7,7.09,7.09,162985800,0.26,,
2/5/2021,7.17,8.27,6.52,6.83,6.83,197097600,0.65,,
2/8/2021,6.88,6.89,5.75,6.18,6.18,128171500,0.68,,
2/9/2021,5.81,5.81,5.26,5.5,5.5,102588100,-0.3,,
2/10/2021,5.71,6.59,5.45,5.8,5.8,152810800,0.19,,
2/11/2021,5.62,5.85,5.47,5.61,5.61,55920400,0.02,,
2/12/2021,5.72,5.97,5.52,5.59,5.59,46773000,-0.06,,
2/16/2021,6.03,6.05,5.49,5.65,5.65,61165700,0.1,,
2/17/2021,5.58,5.62,5.32,5.55,5.55,38849000,0.04,,
2/18/2021,5.84,6.25,5.46,5.51,5.51,130540800,-0.19,,
